0.54494,0.48315,0.42697,0.43258,0.4382,0.4382,0.42697,0.42697,0.42697,0.43258,0.4382,0.44944
0.70787,0.73596,0.87079,0.85955,0.85955,0.85393,0.84831,0.92135,0.91573,0.94382,0.8764,0.44944
0.5,0.51685,0.51124,0.51124,0.52247,0.53933,0.43258,0.43258,0.43258,0.43258,0.4382,0.44944
0.54494,0.48315,0.47753,0.51685,0.43258,0.43258,0.4382,0.44382,0.44382,0.43258,0.4382,0.44944
0.78652,0.78652,0.79775,0.74157,0.76966,0.82584,0.82584,0.83146,0.8764,0.8764,0.8764,0.44944
0.41011,0.43258,0.41573,0.42697,0.43258,0.43258,0.43258,0.43258,0.43258,0.43258,0.4382,0.44944
0.66292,0.74157,0.90449,0.94382,0.95506,0.96629,0.92135,0.9382,0.9382,0.89888,0.8764,0.44944
0.91573,0.92135,0.9382,0.93258,0.93258,0.91573,0.87079,0.89888,0.89888,0.89888,0.8764,0.44944
0.85393,0.9382,0.9382,0.9382,0.9382,0.94382,0.94944,0.94944,0.94944,0.94382,0.8764,0.44944
0.44944,0.44944,0.44944,0.44944,0.44944,0.44944,0.44944,0.44944,0.44944,0.44944,0.44944,0.44944
