0.75325,0.7013,0.71429,0.71429,0.66234,0.63636,0.5974,0.61039,0.61039,0.58442
0.81818,0.79221,0.84416,0.77922,0.76623,0.72727,0.68831,0.7013,0.7013,0.66234
0.79221,0.81818,0.76623,0.74026,0.68831,0.63636,0.64935,0.63636,0.63636,0.5974
0.75325,0.7013,0.7013,0.7013,0.71429,0.68831,0.68831,0.68831,0.7013,0.7013
0.5974,0.55844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.57143,0.57143,0.57143,0.57143,0.57143,0.57143,0.57143,0.57143,0.57143,0.57143
0.57143,0.57143,0.57143,0.57143,0.57143,0.57143,0.74026,0.68831,0.68831,0.67532
0.57143,0.57143,0.57143,0.57143,0.57143,0.57143,0.57143,0.57143,0.57143,0.57143
0.63636,0.64935,0.67532,0.66234,0.66234,0.66234,0.66234,0.66234,0.66234,0.66234
0.55844,0.55844,0.55844,0.55844,0.55844,0.55844,0.55844,0.55844,0.55844,0.55844
