0,0.001,0.01,0.1,1,10,100,1000
1,0.999993213,0.999993213,0.999993213,0.999993214,0.999993218,0.999993258,0.999993852
2,0.998754297,0.998754298,0.998754311,0.998754442,0.998755741,0.998766923,0.999086872
3,0.998258964,0.998258963,0.998258947,0.998258789,0.998257178,0.998235384,0.995602982
4,0.866244476,0.866244675,0.866246661,0.866266517,0.866465712,0.868413747,0.902144756
5,0.479505121,0.479505591,0.479510289,0.479557298,0.480028771,0.485075019,0.698220406
6,0.168972223,0.168971957,0.168969294,0.168942653,0.168675314,0.165877404,0.128294791
7,0.167211589,0.167211422,0.167209752,0.167193051,0.167025744,0.165298663,0.115042554
8,0.162751748,0.162751657,0.162750749,0.162741671,0.162650659,0.16170409,0.093995401
9,0.158308368,0.158308224,0.158306782,0.158292365,0.158147663,0.156635513,0.067618385
