0,0.001,0.01,0.1,1,10,100,1000
20,0.15676,0.15676,0.15676,0.16959,0.16933,0.23258,0.23467
40,0.27816,0.27816,0.27816,0.27816,0.27816,0.31602,0.3192
60,0.34504,0.34503,0.34503,0.34503,0.36782,0.37917,0.38046
80,0.3961,0.39614,0.39612,0.39611,0.39612,0.42236,0.42351
100,0.43004,0.43004,0.43005,0.42999,0.43336,0.45406,0.45514
120,0.45463,0.45474,0.45464,0.45492,0.46798,0.47404,0.47612
140,0.47253,0.47252,0.47254,0.4725,0.47271,0.49122,0.49221
160,0.4806,0.48049,0.47992,0.48056,0.48263,0.4996,0.4996
180,0.4806,0.47994,0.4808,0.48119,0.4861,0.50011,0.50012
200,0.47974,0.47974,0.47975,0.4798,0.4803,0.48275,0.49225
