0,20,40,60,80,100,120,140,160,180,200
81,0.036002,0.03671,0.066191,0.10201,1,0.99459,0.99953,0.99752,0.99926,0.99994
82,0.035617,0.036096,0.065795,0.089329,1,0.99413,0.99953,0.99752,0.99926,0.99994
83,0.035031,0.035889,0.065578,0.080493,1,0.99388,0.99953,0.99752,0.99921,0.99994
84,0.034941,0.035291,0.064771,0.078008,1,0.99225,0.99953,0.99752,0.99921,0.99994
85,0.034842,0.035142,0.056988,0.075922,1,0.99194,0.99953,0.99752,0.9992,0.99993
86,0.034482,0.035023,0.05047,0.070756,1,0.99128,0.99953,0.99752,0.99919,0.99993
87,0.034104,0.03491,0.05033,0.069986,1,0.99097,0.99953,0.99752,0.99919,0.99993
88,0.034029,0.034854,0.049221,0.069925,1,0.99028,0.99953,0.99752,0.99918,0.99993
89,0.033789,0.034624,0.047924,0.068225,1,0.99006,0.99953,0.99752,0.99913,0.99993
90,0.03378,0.034093,0.044972,0.067387,1,0.99005,0.99953,0.99752,0.99913,0.99992
91,0.033578,0.034078,0.043766,0.057684,0.99999,0.98903,0.99953,0.99752,0.99908,0.99991
92,0.033432,0.033999,0.042664,0.054655,0.78977,0.98879,0.99953,0.99752,0.99908,0.99991
93,0.033345,0.033821,0.04059,0.05348,0.38043,0.98802,0.99953,0.99752,0.99906,0.9999
94,0.033283,0.033718,0.040358,0.053325,0.32717,0.98796,0.99953,0.99752,0.99905,0.9999
95,0.033091,0.033564,0.039979,0.049648,0.31948,0.98756,0.99953,0.99752,0.99903,0.99989
96,0.033084,0.033498,0.039262,0.047302,0.28266,0.98756,0.99953,0.99752,0.99899,0.99988
97,0.032988,0.033447,0.038981,0.044408,0.22299,0.98747,0.99953,0.99752,0.99897,0.99988
98,0.032917,0.033397,0.038815,0.043832,0.16253,0.98559,0.99953,0.99752,0.99895,0.99987
99,0.032892,0.033235,0.038721,0.043207,0.13818,0.98544,0.99953,0.99752,0.99895,0.99987
100,0.032764,0.033192,0.037876,0.041314,0.10707,0.98484,0.99953,0.99752,0.99888,0.99987
101,0.032695,0.032964,0.037812,0.041311,0.10406,0.98411,0.99953,0.99752,0.99875,0.99986
102,0.032462,0.032692,0.037744,0.041277,0.098894,0.98202,0.99953,0.99752,0.99865,0.99986
103,0.032433,0.032553,0.036974,0.041181,0.091427,0.98104,0.99953,0.99752,0.99863,0.99986
