0.46729,0.47196,0.46262,0.65421,0.64953,0.66822,0.65888,0.65421
0.54206,0.5514,0.58879,0.6215,0.6028,0.68224,0.65421,0.65421
0.46729,0.64486,0.66355,0.68692,0.68224,0.67757,0.66355,0.65421
0.43458,0.48131,0.6028,0.59346,0.57477,0.66822,0.65888,0.65421
0.47664,0.62617,0.60748,0.59346,0.66355,0.66822,0.65421,0.65421
0.59346,0.64953,0.64953,0.66355,0.65421,0.66822,0.65421,0.65421
0.63084,0.65421,0.67757,0.68692,0.66822,0.66822,0.66355,0.65421
0.57009,0.65421,0.68692,0.68692,0.67757,0.6729,0.66355,0.65421
0.46729,0.64486,0.64486,0.65888,0.67757,0.6729,0.68224,0.65421
0.65421,0.65421,0.65421,0.65421,0.65421,0.65421,0.65421,0.65421
